name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_10-03,avg,otsu,11,36.14183,24.74671,-31.5289,0.98119,0.84862,-13.51114,43.0956,51.92341,20.48425
Case_10-03,avg,otsu,13,36.14183,23.66964,-34.50902,0.98119,0.82483,-15.93575,43.0956,56.35268,30.76203
Case_10-04,avg,otsu,3,36.91751,25.33598,-31.37137,0.98537,0.93746,-4.86213,44.15868,46.11689,4.43448
Case_10-04,avg,otsu,5,36.91751,31.78113,-13.91313,0.98537,0.9627,-2.30066,44.15868,49.07697,11.13776
Case_10-04,avg,otsu,7,36.91751,28.61598,-22.4867,0.98537,0.929,-5.72069,44.15868,53.90501,22.07115
Case_10-04,avg,otsu,9,36.91751,26.19566,-29.04272,0.98537,0.89122,-9.55479,44.15868,53.10571,20.26109
Case_10-04,avg,otsu,11,36.91751,24.52919,-33.55676,0.98537,0.8589,-12.83477,44.15868,50.52956,14.42724
Case_10-04,avg,otsu,13,36.91751,23.33053,-36.80362,0.98537,0.83361,-15.40132,44.15868,53.85795,21.96458
Case_10-05,avg,otsu,3,38.85535,23.8924,-38.50937,0.98759,0.91641,-7.20744,52.99247,43.19157,-18.49489
Case_10-05,avg,otsu,5,38.85535,34.56596,-11.03938,0.98759,0.97662,-1.11078,52.99247,56.97159,7.50884
Case_10-05,avg,otsu,7,38.85535,32.40332,-16.60526,0.98759,0.96278,-2.51218,52.99247,55.31962,4.39147
Case_10-05,avg,otsu,9,38.85535,29.9888,-22.81938,0.98759,0.94352,-4.46238,52.99247,54.22458,2.32507
Case_10-05,avg,otsu,11,38.85535,28.19377,-27.43916,0.98759,0.92505,-6.33259,52.99247,52.57672,-0.78455
Case_10-05,avg,otsu,13,38.85535,26.85144,-30.89384,0.98759,0.90923,-7.93447,52.99247,60.03832,13.29595
Case_10-06,avg,otsu,3,37.73583,24.07101,-36.21179,0.98696,0.92335,-6.44504,46.754,49.85072,6.62343
Case_10-06,avg,otsu,5,37.73583,32.75153,-13.2084,0.98696,0.96933,-1.78629,46.754,44.20405,-5.45397
Case_10-06,avg,otsu,7,37.73583,29.92642,-20.69495,0.98696,0.94437,-4.31527,46.754,50.0199,6.98528
Case_10-06,avg,otsu,9,37.73583,27.35154,-27.51838,0.98696,0.91242,-7.55248,46.754,51.29387,9.71012
