sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.7,15,1.509999824842,0.229501506075938,7.09011832911473,-2.28845912699801,70
1.1,15,-1.9596716867995,-0.0540186111280913,14.2307330678177,22.6914849163353,70
1.4,15,-5.82702364639741,-0.512068971920902,17.6442010063245,42.6570527617049,70
1.7,15,-9.64342911697444,-1.10515284578941,19.049335645906,64.0873710434217,70
2.3,15,-16.0120994273592,-2.4517699010507,19.0584534759863,103.83372678813,70
2.6,15,-18.4838380184628,-3.11259736132182,19.151215333268,119.904285923956,70
2.9,15,-20.5126049083522,-3.72191660313854,19.3440935376409,133.203887113955,70
2,15,-13.0649576842308,-1.7690089572501,19.1316031786718,85.1089752046279,70
0.4,17,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,17,1.509999824842,0.229501506075938,7.09011832911473,-2.28845912699801,70
1.1,17,-1.9596716867995,-0.0540186111280913,14.2307330678177,22.6914849163353,70
1.4,17,-5.82702690264338,-0.512069241411984,17.6442518375167,42.6569359969667,70
1.7,17,-9.64393599957437,-1.10520245514153,19.0491697459254,64.0845385163805,70
2.3,17,-16.0570095799855,-2.45862959762044,19.0683946862231,103.877151599483,70
2.6,17,-18.6152838029893,-3.13643870752559,19.1866474022629,120.385674760582,70
2.9,17,-20.779578699537,-3.77762445028213,19.3935137986507,134.06450357575,70
2,17,-13.0732253989949,-1.77003337832547,19.1341563584685,85.125890201681,70
0.4,19,0.439514068140704,0.0490124271163046,-1.04065443264904,-20.7485657252211,70
0.7,19,1.509999824842,0.229501506075938,7.09011832911473,-2.28845912699801,70
1.1,19,-1.9596716867995,-0.0540186111280913,14.2307330678177,22.6914849163353,70
1.4,19,-5.82702697053723,-0.512069244253929,17.6440533638404,42.6569147901421,70
1.7,19,-9.64396263405606,-1.10520493655138,19.0495117837321,64.0813604973991,70
2.3,19,-16.0665125396283,-2.45996942130447,19.0676824274551,103.903988520851,70
2.6,19,-18.6548767015509,-3.14304996533889,19.2006881343419,120.480362841846,70
2.9,19,-20.8824156918703,-3.79739495152115,19.4192237036656,134.342666315449,70
2,19,-13.0742631472768,-1.77015204522954,19.1359436180061,85.1358633272059,70
