sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
2,7,-2.09035548585961,-0.118117927645866,15.4797434204441,5.48859954173428
2.3,7,-2.80549163914275,-0.29033678082759,15.717212259293,11.5795208226751
2.6,7,-3.35437305505628,-0.427912121013709,15.4086296963548,16.5919475305967
2.9,7,-3.772446287859,-0.536199518426421,14.8902336791818,19.810545905879
0.4,9,-3.78743375011762,-0.530150537652913,-2.98668405473524,-14.73673554806
0.7,9,-1.48365327400014,0.0919146173622794,3.90540278089191,-45.3176419233729
1.1,9,0.0149903445866657,0.362202957952048,7.79146902928728,-21.8117012976907
1.4,9,-0.314457065505044,0.272495410639149,11.5100645339782,-8.38791310702251
1.7,9,-1.62795611323726,-0.00203745473855626,14.4088502703478,-0.327362311416854
2,9,-3.21000898203341,-0.352220159642257,15.8620898275426,7.43743493645878
2.3,9,-4.62398612237553,-0.692248656762041,15.6376897062435,14.8662116745116
2.6,9,-5.76074779884314,-0.986592341406722,14.7390141690088,21.0635952255372
2.9,9,-6.64561262408773,-1.22979572926693,13.9398428349542,25.9010330826746
0.4,11,-3.78742893264126,-0.530150062305959,-2.98668326230479,-14.7363295132947
0.7,11,-1.48365323822187,0.0919146190664106,3.90540278089191,-45.3176419233729
1.1,11,0.0162787519964889,0.362349015201724,7.7911433992568,-21.7992658619485
1.4,11,-0.314917241379787,0.272079099354793,11.5182848960293,-8.21006716397049
1.7,11,-1.76265642047884,-0.0242765187117144,14.4162501094175,0.312839070090741
2,11,-3.73241624717834,-0.44680616028496,15.7038564166438,9.32399237287165
2.3,11,-5.68318306745626,-0.904642907653672,15.0634518967896,18.2648767969837
2.6,11,-7.36129801199898,-1.33617272752489,14.0345527367411,26.4149866999846
2.9,11,-8.72039342836271,-1.71479435353666,13.6115033142942,33.1802932845372
0.4,13,-3.78744538190221,-0.530151726128702,-2.9864954428272,-14.736442251929
0.7,13,-1.48365323822187,0.0919146190664106,3.90540278089191,-45.3176419233729
1.1,13,0.0162899271412986,0.362350373655992,7.79080018671732,-21.7990389921899
1.4,13,-0.315155919804799,0.272043326199901,11.5200322830376,-8.19717320235628
1.7,13,-1.78759674354355,-0.0277450294137046,14.4301339430804,0.390979590233879
2,13,-3.89403037400375,-0.47212612691872,15.6605974865725,9.84378040319578
2.3,13,-6.13607826943093,-0.985221134186264,14.7938180506734,19.757011991162
2.6,13,-8.19879393245956,-1.50295556029534,13.6971672741938,28.9809402429985
2.9,13,-9.95511011461485,-1.98439152393476,13.6321028588438,36.7560275349407
0.4,15,-3.78744549186999,-0.530151726594641,-2.98649519139884,-14.7363650156685
0.7,15,-1.48365323822187,0.0919146190664106,3.90540278089191,-45.3176419233729
1.1,15,0.0162898867082968,0.362350358027481,7.79074645796924,-21.7990481349904
1.4,15,-0.315172941245449,0.272041958668709,11.5191114000814,-8.19115393044754
1.7,15,-1.79062846272124,-0.0281142146497129,14.4321827341744,0.395545693392689
2,15,-3.93032482518631,-0.477172092278592,15.6540453078088,9.97674929601398
2.3,15,-6.28746667541994,-1.00916665049525,14.7251018525834,20.073463942055
2.6,15,-8.56176724175009,-1.56817348469805,13.574729937566,29.8627186317601
2.9,15,-10.5910941564903,-2.11164891741489,13.5707945766447,38.4804483576553
0.4,17,-3.78744806812248,-0.530151995542165,-2.98649604019677,-14.7362594447614
0.7,17,-1.48365323822187,0.0919146190664106,3.90540278089191,-45.3176419233729
1.1,17,0.0162898867082968,0.362350358027481,7.79074645796924,-21.7990481349904
1.4,17,-0.315173474960034,0.272041922255092,11.5193650644378,-8.19101951337849
1.7,17,-1.79087371970789,-0.028142213638359,14.4320475604791,0.404857773930251
2,17,-3.93637533131362,-0.477944016641801,15.6521671034842,9.96506756445894
2.3,17,-6.32762416393709,-1.01495154640386,14.712080052377,20.154264860953
2.6,17,-8.69318489373722,-1.58964396406136,13.5536767053076,30.1712409561766
2.9,17,-10.8759107408235,-2.16386156526789,13.56233636607,39.0490142428384
0.4,19,-3.78743344071145,-0.53015051304061,-2.98668338772791,-14.7368313362931
0.7,19,-1.48365323822187,0.0919146190664106,3.90540278089191,-45.3176419233729
1.1,19,0.0162898867082968,0.362350358027481,7.79074645796924,-21.7990481349904
1.4,19,-0.315173455925118,0.272041930746241,11.5193650613918,-8.19107891412827
1.7,19,-1.79088816220212,-0.0281440987153134,14.4316934040893,0.405880042789517
2,19,-3.93713580618109,-0.478033540060346,15.652746190486,9.97537564794224
