name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_3-10,avg,multilevel_tresholding,13,34.116,28.419,-16.69891,0.979,0.955,-2.45148,52.581,62.531,18.92319
Case_4-01,avg,multilevel_tresholding,13,36.198,31.45,-13.11675,0.975,0.973,-0.20513,57.01,61.809,8.41782
Case_4-02,avg,multilevel_tresholding,13,35.2,30.474,-13.42614,0.989,0.983,-0.60667,47.343,68.612,44.92533
Case_4-03,avg,multilevel_tresholding,13,35.465,30.472,-14.07867,0.985,0.979,-0.60914,48.818,63.701,30.48671
Case_4-04,avg,multilevel_tresholding,13,35.075,30.245,-13.77049,0.99,0.983,-0.70707,47.353,68.456,44.56529
Case_4-05,avg,multilevel_tresholding,13,35.035,30.032,-14.28001,0.987,0.979,-0.81054,48.252,68.546,42.05836
Case_4-06,avg,multilevel_tresholding,13,35.192,29.958,-14.8727,0.988,0.982,-0.60729,48.811,67.174,37.62062
Case_4-07,avg,multilevel_tresholding,13,35.473,31.128,-12.24875,0.987,0.983,-0.40527,43.381,68.865,58.74461
Case_4-08,avg,multilevel_tresholding,13,36.438,33.241,-8.77381,0.987,0.986,-0.10132,47.883,63.017,31.60621
Case_4-09,avg,multilevel_tresholding,13,35.653,31.427,-11.85314,0.989,0.985,-0.40445,44.463,67.846,52.58979
Case_4-10,avg,multilevel_tresholding,13,34.832,29.725,-14.66181,0.986,0.978,-0.81136,46.797,66.084,41.21418
Case_5-01,avg,multilevel_tresholding,13,35.524,30.24,-14.87445,0.972,0.955,-1.74897,51.268,66.834,30.36202
Case_5-02,avg,multilevel_tresholding,13,35.811,30.418,-15.05962,0.963,0.946,-1.76532,49.475,67.191,35.80798
Case_5-04,avg,multilevel_tresholding,13,36.049,30.815,-14.51913,0.964,0.952,-1.24481,44.307,68.694,55.04096
