type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
gauss,otsu,0.7,5,37.29525,35.7792070625,-7.2784371875,0.98763,0.981824625,-0.31496375,51.37817,50.099237375,3.1128186875
gauss,multilevel_tresholding,1.4,3,37.29525,35.7828629375,-7.328174625,0.98763,0.9836706875,-0.127491875,51.37817,53.0231185,9.2744094375
gauss,multilevel_tresholding,2,5,37.29525,35.7824356875,-7.3457430625,0.98763,0.97999975,-0.50153475,51.37817,56.3707665,16.3809590625
gauss,multilevel_tresholding,1.7,3,37.29525,35.767024,-7.3694856875,0.98763,0.983611875,-0.1334826875,51.37817,53.12817175,9.49743975
gauss,multilevel_tresholding,2,3,37.29525,35.7600405625,-7.387617375,0.98763,0.9835840625,-0.136317625,51.37817,53.1691750625,9.583107125
avg,multilevel_tresholding,NaN,3,37.29525,35.7317208125,-7.4608209375,0.98763,0.9834725625,-0.1476740625,51.37817,53.2638549375,9.789865125
gauss,fixed_multilevel_tresholding,0.7,5,37.29525,35.70186825,-7.474157625,0.98763,0.983265875,-0.168395875,51.37817,51.3875955,5.8209525625
gauss,otsu,1.7,9,37.29525,35.611034375,-7.8315901875,0.98763,0.9767466875,-0.8327473125,51.37817,55.6045855625,14.9023325625
gauss,otsu,1.4,5,37.29525,35.5702114375,-7.832037,0.98763,0.9805150625,-0.4485255,51.37817,53.6776785,10.689849
gauss,fixed_multilevel_tresholding,1.7,7,37.29525,35.559593625,-7.9507595625,0.98763,0.97721475,-0.785074125,51.37817,56.8395168125,17.4134920625
gauss,multilevel_tresholding,1.7,7,37.29525,35.52169875,-8.045398375,0.98763,0.9773455625,-0.7717771875,51.37817,57.1001129375,17.9544603125
gauss,otsu,1.7,11,37.29525,35.5216965625,-8.065253,0.98763,0.976431625,-0.86481625,51.37817,55.597670875,14.89857725
gauss,fixed_multilevel_tresholding,1.1,5,37.29525,35.4696378125,-8.081111625,0.98763,0.9821390625,-0.2832331875,51.37817,54.0201606875,11.3844401875
gauss,otsu,1.7,13,37.29525,35.5055584375,-8.1073956875,0.98763,0.9763816875,-0.8698978125,51.37817,55.6037424375,14.9125175625
avg,multilevel_tresholding,NaN,5,37.29525,35.3941895,-8.3669950625,0.98763,0.9771491875,-0.7916891875,51.37817,56.8990539375,17.52753225
gauss,otsu,1.7,5,37.29525,35.3508363125,-8.408002875,0.98763,0.979393375,-0.5627035625,51.37817,54.4826605625,12.4214220625
gauss,otsu,2,7,37.29525,35.371620625,-8.452952375,0.98763,0.9753704375,-0.9727754375,51.37817,56.4277216875,16.632125375
gauss,fixed_multilevel_tresholding,1.4,5,37.29525,35.241263375,-8.68234075,0.98763,0.9806249375,-0.4373956875,51.37817,55.00576775,13.507342
gauss,fixed_multilevel_tresholding,1.7,9,37.29525,35.246176,-8.7736960625,0.98763,0.9756945,-0.939807625,51.37817,57.027064,17.8379363125
gauss,multilevel_tresholding,1.7,9,37.29525,35.2449915,-8.7741536875,0.98763,0.975813875,-0.9276735,51.37817,57.254029875,18.301077625
gauss,otsu,2,5,37.29525,35.195810625,-8.8147204375,0.98763,0.9785675625,-0.64675625,51.37817,54.8329594375,13.192090875
gauss,otsu,0.4,5,37.29525,35.1278944375,-8.979818125,0.98763,0.978595,-0.6433021875,51.37817,46.8667431875,-3.6287439375
gauss,multilevel_tresholding,1.7,11,37.29525,35.1611941875,-8.994036125,0.98763,0.975447875,-0.96491875,51.37817,57.27279325,18.3448986875
gauss,fixed_multilevel_tresholding,1.7,11,37.29525,35.15268175,-9.01810375,0.98763,0.975328875,-0.9770151875,51.37817,57.0507069375,17.8931726875
gauss,multilevel_tresholding,1.7,13,37.29525,35.1457731875,-9.034436375,0.98763,0.9753914375,-0.9706614375,51.37817,57.273700125,18.3471494375
gauss,fixed_multilevel_tresholding,1.7,13,37.29525,35.1359624375,-9.06172225,0.98763,0.9752726875,-0.982731125,51.37817,57.0572396875,17.907003875
gauss,fixed_multilevel_tresholding,1.7,5,37.29525,35.0596861875,-9.1591769375,0.98763,0.9794001875,-0.56207875,51.37817,55.5226365625,14.6298774375
gauss,multilevel_tresholding,2,7,37.29525,35.0711168125,-9.227822875,0.98763,0.9745005625,-1.061333125,51.37817,57.3525060625,18.5166793125
gauss,fixed_multilevel_tresholding,2,7,37.29525,35.056691625,-9.266800125,0.98763,0.97434925,-1.0767065625,51.37817,57.2120021875,18.238504375
gauss,fixed_multilevel_tresholding,2,5,37.29525,34.9256173125,-9.51099825,0.98763,0.978512875,-0.65239725,51.37817,55.75685325,15.1508569375
avg,otsu,NaN,5,37.29525,34.712809625,-10.0806753125,0.98763,0.9758026875,-0.9281480625,51.37817,54.929290625,13.501195875
gauss,otsu,2,9,37.29525,34.7233466875,-10.146131625,0.98763,0.9724008125,-1.275022625,51.37817,56.50530025,16.8758769375
avg,fixed_multilevel_tresholding,NaN,5,37.29525,34.513283125,-10.5946418125,0.98763,0.9756085,-0.948009875,51.37817,56.1029726875,15.962009375
gauss,otsu,2,11,37.29525,34.447984625,-10.863844375,0.98763,0.971251375,-1.3919875625,51.37817,56.3906388125,16.6610905625
gauss,multilevel_tresholding,2,9,37.29525,34.4437613125,-10.87013575,0.98763,0.971161625,-1.401114375,51.37817,57.34323775,18.521425625
gauss,fixed_multilevel_tresholding,2,9,37.29525,34.4019788125,-10.9780286875,0.98763,0.9710300625,-1.4144831875,51.37817,57.27335875,18.396647
gauss,otsu,2,13,37.29525,34.3647974375,-11.0804130625,0.98763,0.97094225,-1.4234381875,51.37817,56.36214775,16.606351875
gauss,multilevel_tresholding,2,11,37.29525,34.1674085625,-11.5910944375,0.98763,0.969910125,-1.52844675,51.37817,57.3006288125,18.4372385
gauss,fixed_multilevel_tresholding,2,11,37.29525,34.1254685,-11.6990258125,0.98763,0.9697858125,-1.54107875,51.37817,57.2387834375,18.329027
gauss,multilevel_tresholding,2,13,37.29525,34.0844685625,-11.8072571875,0.98763,0.9695794375,-1.56208675,51.37817,57.291361,18.4186361875
gauss,fixed_multilevel_tresholding,2,13,37.29525,34.041438875,-11.9177298125,0.98763,0.969456,-1.574630125,51.37817,57.2272865625,18.3059394375
