name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-02,gauss,otsu,1.7,3,35.61162,22.61402,-36.4982,0.98193,0.91309,-7.01068,54.4745,46.0506,-15.46393
Case_1-02,gauss,otsu,1.7,5,35.61162,32.88006,-7.67042,0.98193,0.97962,-0.23525,54.4745,52.88065,-2.92586
Case_1-02,gauss,otsu,1.7,7,35.61162,33.9821,-4.57581,0.98193,0.98231,0.0387,54.4745,56.38732,3.5114
Case_1-02,gauss,otsu,1.7,9,35.61162,33.83214,-4.99691,0.98193,0.98227,0.03463,54.4745,56.98138,4.60193
Case_1-02,gauss,otsu,1.7,11,35.61162,33.76521,-5.18485,0.98193,0.98221,0.02852,54.4745,57.15455,4.91982
Case_1-02,gauss,otsu,1.7,13,35.61162,33.75063,-5.22579,0.98193,0.98219,0.02648,54.4745,57.18438,4.97458
Case_1-02,gauss,otsu,2,3,35.61162,22.61342,-36.49988,0.98193,0.91308,-7.0117,54.4745,46.04065,-15.4822
Case_1-02,gauss,otsu,2,5,35.61162,32.80332,-7.88591,0.98193,0.9794,-0.25766,54.4745,51.81651,-4.87933
Case_1-02,gauss,otsu,2,7,35.61162,33.60155,-5.64442,0.98193,0.98144,-0.0499,54.4745,55.60158,2.069
Case_1-02,gauss,otsu,2,9,35.61162,33.10472,-7.03956,0.98193,0.9806,-0.13545,54.4745,57.12011,4.8566
Case_1-02,gauss,otsu,2,11,35.61162,32.82952,-7.81234,0.98193,0.98009,-0.18739,54.4745,57.54766,5.64147
Case_1-02,gauss,otsu,2,13,35.61162,32.73548,-8.07641,0.98193,0.97991,-0.20572,54.4745,57.6111,5.75792
Case_1-03,gauss,otsu,0.4,3,36.05928,23.52132,-34.77041,0.98515,0.92399,-6.20819,51.44845,38.67494,-24.82778
Case_1-03,gauss,otsu,0.4,5,36.05928,33.09608,-8.21758,0.98515,0.97866,-0.65878,51.44845,49.51812,-3.75197
Case_1-03,gauss,otsu,0.4,7,36.05928,33.99516,-5.72424,0.98515,0.9802,-0.50246,51.44845,48.64381,-5.45136
Case_1-03,gauss,otsu,0.4,9,36.05928,33.99515,-5.72427,0.98515,0.9802,-0.50246,51.44845,48.64381,-5.45136
