name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_10-01,gauss,1,1.7,10,32.91349,30.44276,-7.50674,0.96404,0.94602,-1.86922,0.99302,0.9791,-1.40178
Case_10-01,gauss,1,2,12,32.91349,29.21626,-11.23318,0.96404,0.93245,-3.27683,0.99302,0.9705,-2.26783
Case_10-01,gauss,0,0.4,2,32.91349,32.69451,-0.66532,0.96404,0.96474,0.07261,0.99302,0.99208,-0.09466
Case_10-01,gauss,0,0.7,4,32.91349,32.47495,-1.3324,0.96404,0.96813,0.42426,0.99302,0.99015,-0.28902
Case_10-01,gauss,0,1.1,6,32.91349,32.48176,-1.31171,0.96404,0.96547,0.14833,0.99302,0.98928,-0.37663
Case_10-01,gauss,0,1.4,8,32.91349,31.66149,-3.80391,0.96404,0.95758,-0.6701,0.99302,0.98559,-0.74822
Case_10-01,gauss,0,1.7,10,32.91349,30.44276,-7.50674,0.96404,0.94602,-1.86922,0.99302,0.9791,-1.40178
Case_10-01,gauss,0,2,12,32.91349,29.21626,-11.23318,0.96404,0.93245,-3.27683,0.99302,0.9705,-2.26783
Case_10-02,gauss,1,0.4,2,33.66156,32.90031,-2.26148,0.96895,0.96788,-0.11043,0.99416,0.99172,-0.24543
Case_10-02,gauss,1,0.7,4,33.66156,31.2534,-7.15404,0.96895,0.96684,-0.21776,0.99416,0.98428,-0.9938
Case_10-02,gauss,1,1.1,6,33.66156,31.71407,-5.7855,0.96895,0.96737,-0.16306,0.99416,0.98557,-0.86405
Case_10-02,gauss,1,1.4,8,33.66156,31.79948,-5.53177,0.96895,0.9633,-0.58311,0.99416,0.98595,-0.82582
Case_10-02,gauss,1,1.7,10,33.66156,31.05333,-7.74839,0.96895,0.95488,-1.45209,0.99416,0.98287,-1.13563
Case_10-02,gauss,1,2,12,33.66156,29.94744,-11.03371,0.96895,0.9437,-2.60591,0.99416,0.97712,-1.71401
Case_10-02,gauss,0,0.4,2,33.66156,32.90031,-2.26148,0.96895,0.96788,-0.11043,0.99416,0.99172,-0.24543
Case_10-02,gauss,0,0.7,4,33.66156,31.2534,-7.15404,0.96895,0.96684,-0.21776,0.99416,0.98428,-0.9938
Case_10-02,gauss,0,1.1,6,33.66156,31.71407,-5.7855,0.96895,0.96737,-0.16306,0.99416,0.98557,-0.86405
Case_10-02,gauss,0,1.4,8,33.66156,31.79948,-5.53177,0.96895,0.9633,-0.58311,0.99416,0.98595,-0.82582
Case_10-02,gauss,0,1.7,10,33.66156,31.05333,-7.74839,0.96895,0.95488,-1.45209,0.99416,0.98287,-1.13563
Case_10-02,gauss,0,2,12,33.66156,29.94744,-11.03371,0.96895,0.9437,-2.60591,0.99416,0.97712,-1.71401
Case_10-03,gauss,1,0.4,2,32.56373,32.36639,-0.60601,0.96066,0.9615,0.08744,0.99237,0.99132,-0.10581
Case_10-03,gauss,1,0.7,4,32.56373,32.24027,-0.99331,0.96066,0.96561,0.51527,0.99237,0.98946,-0.29324
Case_10-03,gauss,1,1.1,6,32.56373,32.24225,-0.98723,0.96066,0.9628,0.22276,0.99237,0.98833,-0.40711
Case_10-03,gauss,1,1.4,8,32.56373,31.38986,-3.60484,0.96066,0.9543,-0.66204,0.99237,0.98404,-0.8394
Case_10-03,gauss,1,1.7,10,32.56373,30.15116,-7.40876,0.96066,0.94188,-1.95491,0.99237,0.97666,-1.58308
Case_10-03,gauss,1,2,12,32.56373,28.91785,-11.19614,0.96066,0.9274,-3.4622,0.99237,0.96696,-2.56054
Case_10-03,gauss,0,0.4,2,32.56373,32.36639,-0.60601,0.96066,0.9615,0.08744,0.99237,0.99132,-0.10581
Case_10-03,gauss,0,0.7,4,32.56373,32.24027,-0.99331,0.96066,0.96561,0.51527,0.99237,0.98946,-0.29324
Case_10-03,gauss,0,1.1,6,32.56373,32.24225,-0.98723,0.96066,0.9628,0.22276,0.99237,0.98833,-0.40711
Case_10-03,gauss,0,1.4,8,32.56373,31.38986,-3.60484,0.96066,0.9543,-0.66204,0.99237,0.98404,-0.8394
Case_10-03,gauss,0,1.7,10,32.56373,30.15116,-7.40876,0.96066,0.94188,-1.95491,0.99237,0.97666,-1.58308
Case_10-03,gauss,0,2,12,32.56373,28.91785,-11.19614,0.96066,0.9274,-3.4622,0.99237,0.96696,-2.56054
Case_10-04,gauss,1,0.4,2,32.98354,32.40826,-1.74414,0.96681,0.96643,-0.0393,0.99397,0.99201,-0.19719
Case_10-04,gauss,1,0.7,4,32.98354,31.62441,-4.12063,0.96681,0.96817,0.14067,0.99397,0.98816,-0.58452
Case_10-04,gauss,1,1.1,6,32.98354,31.96361,-3.09224,0.96681,0.96675,-0.00621,0.99397,0.9887,-0.5302
Case_10-04,gauss,1,1.4,8,32.98354,31.48582,-4.54081,0.96681,0.95997,-0.70748,0.99397,0.98677,-0.72437
Case_10-04,gauss,1,1.7,10,32.98354,30.28985,-8.16677,0.96681,0.94892,-1.85042,0.99397,0.9813,-1.27469
Case_10-04,gauss,1,2,12,32.98354,29.00137,-12.0732,0.96681,0.93553,-3.23538,0.99397,0.9734,-2.06948
Case_10-04,gauss,0,0.4,2,32.98354,32.40826,-1.74414,0.96681,0.96643,-0.0393,0.99397,0.99201,-0.19719
Case_10-04,gauss,0,0.7,4,32.98354,31.62441,-4.12063,0.96681,0.96817,0.14067,0.99397,0.98816,-0.58452
Case_10-04,gauss,0,1.1,6,32.98354,31.96361,-3.09224,0.96681,0.96675,-0.00621,0.99397,0.9887,-0.5302
Case_10-04,gauss,0,1.4,8,32.98354,31.48582,-4.54081,0.96681,0.95997,-0.70748,0.99397,0.98677,-0.72437
Case_10-04,gauss,0,1.7,10,32.98354,30.28985,-8.16677,0.96681,0.94892,-1.85042,0.99397,0.9813,-1.27469
Case_10-04,gauss,0,2,12,32.98354,29.00137,-12.0732,0.96681,0.93553,-3.23538,0.99397,0.9734,-2.06948
Case_10-05,gauss,1,0.4,2,34.76679,34.31527,-1.29871,0.97183,0.97144,-0.04013,0.99576,0.99478,-0.09842
Case_10-05,gauss,1,0.7,4,34.76679,33.33002,-4.13259,0.97183,0.97253,0.07203,0.99576,0.99189,-0.38865
Case_10-05,gauss,1,1.1,6,34.76679,33.40607,-3.91385,0.97183,0.97306,0.12657,0.99576,0.99165,-0.41275
