name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
Case_6-02,gauss,1,1.1,0,33.631,33.951,0.95,0.97,0.976,0.62
Case_6-03,gauss,1,1.1,0,33.686,34.096,1.22,0.974,0.978,0.41
Case_6-04,gauss,1,1.1,0,34.387,34.751,1.06,0.972,0.977,0.51
Case_6-05,gauss,1,1.1,0,33.69,34.028,1,0.975,0.98,0.51
Case_6-06,gauss,1,1.1,0,34.027,34.507,1.41,0.977,0.981,0.41
Case_6-07,gauss,1,1.1,0,34.428,34.847,1.22,0.973,0.978,0.51
Case_6-08,gauss,1,1.1,0,33.592,34.061,1.4,0.968,0.975,0.72
Case_6-10,gauss,1,1.1,0,34.305,34.549,0.71,0.972,0.977,0.51
Case_7-01,gauss,1,1.1,0,39.116,38.988,-0.33,0.957,0.963,0.63
Case_7-02,gauss,1,1.1,0,39.128,39.093,-0.09,0.959,0.964,0.52
Case_7-03,gauss,1,1.1,0,38.507,38.067,-1.14,0.962,0.967,0.52
Case_7-04,gauss,1,1.1,0,38.833,38.669,-0.42,0.963,0.967,0.42
Case_7-05,gauss,1,1.1,0,38.177,37.794,-1,0.963,0.967,0.42
Case_7-06,gauss,1,1.1,0,38.122,37.85,-0.71,0.964,0.967,0.31
Case_7-07,gauss,1,1.1,0,38.318,37.914,-1.05,0.967,0.969,0.21
Case_7-08,gauss,1,1.1,0,38.105,37.765,-0.89,0.961,0.966,0.52
Case_7-09,gauss,1,1.1,0,37.247,37.28,0.09,0.966,0.971,0.52
Case_7-10,gauss,1,1.1,0,38.04,38.123,0.22,0.941,0.949,0.85
Case_7-12,gauss,1,1.1,0,37.297,37.137,-0.43,0.96,0.965,0.52
Case_8-01,gauss,1,1.1,0,35.322,35.082,-0.68,0.938,0.946,0.85
Case_8-02,gauss,1,1.1,0,35.864,35.702,-0.45,0.94,0.948,0.85
Case_8-03,gauss,1,1.1,0,35.897,35.886,-0.03,0.938,0.948,1.07
Case_8-04,gauss,1,1.1,0,35.92,35.784,-0.38,0.939,0.948,0.96
Case_9-01,gauss,1,1.1,0,32.783,32.764,-0.06,0.963,0.966,0.31
Case_9-02,gauss,1,1.1,0,33.534,33.406,-0.38,0.949,0.955,0.63
Case_9-03,gauss,1,1.1,0,33.112,32.601,-1.54,0.944,0.945,0.11
Case_9-04,gauss,1,1.1,0,33.201,33.2,-0,0.959,0.962,0.31
Case_9-05,gauss,1,1.1,0,32.886,32.63,-0.78,0.954,0.955,0.1
Case_9-07,gauss,1,1.1,0,33.11,32.53,-1.75,0.948,0.949,0.11
Case_9-08,gauss,1,1.1,0,33.3,32.782,-1.56,0.956,0.956,0
Case_9-10,gauss,1,1.1,0,33.049,32.773,-0.84,0.959,0.96,0.1
