name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_10-04,gauss,1,1.4,8,32.98354,31.70999,-3.86117,0.96681,0.96099,-0.60198,0.99397,0.98745,-0.65596
Case_10-04,gauss,1,1.7,10,32.98354,30.51394,-7.48737,0.96681,0.95107,-1.62803,0.99397,0.98203,-1.20124
Case_10-04,gauss,1,2,12,32.98354,29.24092,-11.34693,0.96681,0.93849,-2.92922,0.99397,0.9745,-1.95881
Case_10-05,gauss,1,0.4,2,34.76679,22.69488,-34.72253,0.97183,0.88571,-8.86163,0.99576,0.90033,-9.58363
Case_10-05,gauss,1,0.7,4,34.76679,33.53037,-3.55632,0.97183,0.97012,-0.17596,0.99576,0.99266,-0.31132
Case_10-05,gauss,1,1.1,6,34.76679,34.50418,-0.75535,0.97183,0.97348,0.16978,0.99576,0.99432,-0.14461
Case_10-05,gauss,1,1.4,8,34.76679,34.27482,-1.41506,0.97183,0.97225,0.04322,0.99576,0.99356,-0.22094
Case_10-05,gauss,1,1.7,10,34.76679,33.54826,-3.50487,0.97183,0.96865,-0.32722,0.99576,0.99162,-0.41576
Case_10-05,gauss,1,2,12,34.76679,32.57592,-6.30162,0.97183,0.96327,-0.88081,0.99576,0.98864,-0.71503
Case_10-06,gauss,1,0.4,2,33.63674,23.10446,-31.31183,0.96951,0.89666,-7.51411,0.99485,0.91393,-8.13389
Case_10-06,gauss,1,0.7,4,33.63674,32.42174,-3.61212,0.96951,0.96779,-0.17741,0.99485,0.99064,-0.42318
Case_10-06,gauss,1,1.1,6,33.63674,33.03785,-1.78046,0.96951,0.96988,0.03816,0.99485,0.99179,-0.30758
Case_10-06,gauss,1,1.4,8,33.63674,32.59297,-3.10307,0.96951,0.96645,-0.31562,0.99485,0.99025,-0.46238
Case_10-06,gauss,1,1.7,10,33.63674,31.58381,-6.10324,0.96951,0.9594,-1.04279,0.99485,0.98673,-0.8162
Case_10-06,gauss,1,2,12,33.63674,30.37478,-9.69761,0.96951,0.94977,-2.03608,0.99485,0.98142,-1.34995
Case_10-07,gauss,1,0.4,2,33.55548,23.67677,-29.43993,0.97094,0.90536,-6.75428,0.99408,0.91643,-7.81124
Case_10-07,gauss,1,0.7,4,33.55548,32.53551,-3.03965,0.97094,0.96932,-0.16685,0.99408,0.99016,-0.39433
Case_10-07,gauss,1,1.1,6,33.55548,32.95313,-1.79509,0.97094,0.97051,-0.04429,0.99408,0.99087,-0.32291
Case_10-07,gauss,1,1.4,8,33.55548,32.34844,-3.59715,0.97094,0.96632,-0.47583,0.99408,0.98864,-0.54724
Case_10-07,gauss,1,1.7,10,33.55548,31.23194,-6.92447,0.97094,0.95849,-1.28226,0.99408,0.98403,-1.01099
Case_10-07,gauss,1,2,12,33.55548,29.99021,-10.625,0.97094,0.94819,-2.34309,0.99408,0.97739,-1.67894
Case_10-08,gauss,1,0.4,2,33.53521,23.59212,-29.6497,0.97055,0.90329,-6.93009,0.99412,0.91509,-7.94974
Case_10-08,gauss,1,0.7,4,33.53521,32.56219,-2.90149,0.97055,0.96912,-0.14734,0.99412,0.99026,-0.38828
Case_10-08,gauss,1,1.1,6,33.53521,33.01739,-1.54411,0.97055,0.97068,0.01339,0.99412,0.99093,-0.32089
Case_10-08,gauss,1,1.4,8,33.53521,32.4541,-3.22381,0.97055,0.96681,-0.38535,0.99412,0.98875,-0.54018
Case_10-08,gauss,1,1.7,10,33.53521,31.35585,-6.49872,0.97055,0.95926,-1.16326,0.99412,0.98421,-0.99686
Case_10-08,gauss,1,2,12,33.53521,30.11465,-10.19991,0.97055,0.94918,-2.20184,0.99412,0.97764,-1.65775
Case_10-09,gauss,1,0.4,2,33.12456,24.29871,-26.64443,0.96886,0.91264,-5.8027,0.99415,0.93002,-6.45074
Case_10-09,gauss,1,0.7,4,33.12456,32.44985,-2.03689,0.96886,0.9684,-0.04748,0.99415,0.9911,-0.30679
Case_10-09,gauss,1,1.1,6,33.12456,32.85407,-0.81658,0.96886,0.96968,0.08464,0.99415,0.99146,-0.27058
Case_10-09,gauss,1,1.4,8,33.12456,32.24617,-2.65178,0.96886,0.96528,-0.36951,0.99415,0.98895,-0.52306
Case_10-09,gauss,1,1.7,10,33.12456,31.15364,-5.95003,0.96886,0.95715,-1.20864,0.99415,0.98418,-1.00287
Case_10-09,gauss,1,2,12,33.12456,29.95507,-9.5684,0.96886,0.94659,-2.29858,0.99415,0.97754,-1.67077
Case_10-10,gauss,1,0.4,2,33.95052,24.16252,-28.83019,0.96517,0.90069,-6.68069,0.99297,0.90878,-8.4786
Case_10-10,gauss,1,0.7,4,33.95052,33.35779,-1.74586,0.96517,0.96558,0.04248,0.99297,0.99039,-0.25983
Case_10-10,gauss,1,1.1,6,33.95052,33.67072,-0.82414,0.96517,0.96604,0.09014,0.99297,0.99073,-0.22559
Case_10-10,gauss,1,1.4,8,33.95052,33.03415,-2.69913,0.96517,0.96085,-0.44759,0.99297,0.98821,-0.47937
Case_10-10,gauss,1,1.7,10,33.95052,31.99553,-5.75835,0.96517,0.95218,-1.34588,0.99297,0.98362,-0.94162
Case_10-10,gauss,1,2,12,33.95052,30.88737,-9.02239,0.96517,0.94149,-2.45345,0.99297,0.97745,-1.56299
