name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-04,gauss,1,0.4,9,33.94747,31.33896,-7.68396,0.97893,0.9736,-0.54447,0.99728,0.99102,-0.62771
Case_1-04,gauss,1,0.4,11,33.94747,31.362,-7.61609,0.97893,0.97367,-0.53732,0.99728,0.99107,-0.62269
Case_1-04,gauss,1,0.4,13,33.94747,31.36068,-7.61998,0.97893,0.97366,-0.53834,0.99728,0.99108,-0.62169
Case_1-04,gauss,1,0.7,3,33.94747,28.24986,-16.78361,0.97893,0.96307,-1.62014,0.99728,0.98099,-1.63344
Case_1-04,gauss,1,0.7,5,33.94747,31.5658,-7.01575,0.97893,0.97505,-0.39635,0.99728,0.99147,-0.58258
Case_1-04,gauss,1,0.7,7,33.94747,31.60841,-6.89023,0.97893,0.97519,-0.38205,0.99728,0.99156,-0.57356
Case_1-04,gauss,1,0.7,9,33.94747,31.60841,-6.89023,0.97893,0.97519,-0.38205,0.99728,0.99156,-0.57356
Case_1-04,gauss,1,0.7,11,33.94747,31.60841,-6.89023,0.97893,0.97519,-0.38205,0.99728,0.99156,-0.57356
Case_1-04,gauss,1,0.7,13,33.94747,31.60841,-6.89023,0.97893,0.97519,-0.38205,0.99728,0.99156,-0.57356
Case_1-04,gauss,1,1.1,3,33.94747,28.31613,-16.58839,0.97893,0.96432,-1.49245,0.99728,0.98094,-1.63846
Case_1-04,gauss,1,1.1,5,33.94747,32.01722,-5.68599,0.97893,0.9781,-0.08479,0.99728,0.99207,-0.52242
Case_1-04,gauss,1,1.1,7,33.94747,32.13594,-5.33627,0.97893,0.97858,-0.03575,0.99728,0.99231,-0.49836
Case_1-04,gauss,1,1.1,9,33.94747,32.13926,-5.32649,0.97893,0.97859,-0.03473,0.99728,0.99232,-0.49735
Case_1-04,gauss,1,1.1,11,33.94747,32.13932,-5.32632,0.97893,0.97859,-0.03473,0.99728,0.99232,-0.49735
Case_1-04,gauss,1,1.1,13,33.94747,32.13932,-5.32632,0.97893,0.97859,-0.03473,0.99728,0.99232,-0.49735
Case_1-04,gauss,1,1.4,3,33.94747,28.32515,-16.56182,0.97893,0.96457,-1.46691,0.99728,0.98084,-1.64848
Case_1-04,gauss,1,1.4,5,33.94747,32.14047,-5.32293,0.97893,0.97911,0.01839,0.99728,0.99206,-0.52342
Case_1-04,gauss,1,1.4,7,33.94747,32.33369,-4.75376,0.97893,0.98003,0.11237,0.99728,0.99238,-0.49134
Case_1-04,gauss,1,1.4,9,33.94747,32.35344,-4.69558,0.97893,0.98014,0.1236,0.99728,0.99241,-0.48833
Case_1-04,gauss,1,1.4,11,33.94747,32.35496,-4.6911,0.97893,0.98015,0.12463,0.99728,0.99241,-0.48833
Case_1-04,gauss,1,1.4,13,33.94747,32.35503,-4.69089,0.97893,0.98015,0.12463,0.99728,0.99241,-0.48833
Case_1-04,gauss,1,1.7,3,33.94747,28.32656,-16.55767,0.97893,0.96466,-1.45771,0.99728,0.98077,-1.6555
Case_1-04,gauss,1,1.7,5,33.94747,32.15192,-5.2892,0.97893,0.97943,0.05108,0.99728,0.99189,-0.54047
Case_1-04,gauss,1,1.7,7,33.94747,32.31551,-4.80731,0.97893,0.98048,0.15834,0.99728,0.99205,-0.52443
Case_1-04,gauss,1,1.7,9,33.94747,32.31578,-4.80651,0.97893,0.98065,0.1757,0.99728,0.99199,-0.53044
Case_1-04,gauss,1,1.7,11,33.94747,32.31204,-4.81753,0.97893,0.98068,0.17877,0.99728,0.99197,-0.53245
Case_1-04,gauss,1,1.7,13,33.94747,32.31113,-4.82021,0.97893,0.98068,0.17877,0.99728,0.99196,-0.53345
Case_1-04,gauss,1,2,3,33.94747,28.32576,-16.56003,0.97893,0.96469,-1.45465,0.99728,0.98072,-1.66052
Case_1-04,gauss,1,2,5,33.94747,32.12665,-5.36364,0.97893,0.97949,0.05721,0.99728,0.99171,-0.55852
Case_1-04,gauss,1,2,7,33.94747,32.18306,-5.19747,0.97893,0.98034,0.14403,0.99728,0.99155,-0.57456
Case_1-04,gauss,1,2,9,33.94747,32.07971,-5.50191,0.97893,0.98032,0.14199,0.99728,0.99119,-0.61066
Case_1-04,gauss,1,2,11,33.94747,32.02544,-5.66178,0.97893,0.98026,0.13586,0.99728,0.99103,-0.6267
Case_1-04,gauss,1,2,13,33.94747,32.00889,-5.71053,0.97893,0.98024,0.13382,0.99728,0.99098,-0.63172
Case_1-05,gauss,1,0.4,3,33.96857,28.34064,-16.56805,0.97769,0.96084,-1.72345,0.99717,0.98229,-1.49222
Case_1-05,gauss,1,0.4,5,33.96857,31.27836,-7.9197,0.97769,0.97172,-0.61062,0.99717,0.99111,-0.60772
Case_1-05,gauss,1,0.4,7,33.96857,31.2933,-7.87572,0.97769,0.97177,-0.60551,0.99717,0.99113,-0.60571
Case_1-05,gauss,1,0.4,9,33.96857,31.26139,-7.96966,0.97769,0.97167,-0.61574,0.99717,0.99106,-0.61273
Case_1-05,gauss,1,0.4,11,33.96857,31.2938,-7.87425,0.97769,0.97177,-0.60551,0.99717,0.99113,-0.60571
Case_1-05,gauss,1,0.4,13,33.96857,31.30186,-7.85052,0.97769,0.97179,-0.60346,0.99717,0.99115,-0.60371
Case_1-05,gauss,1,0.7,3,33.96857,28.40826,-16.36898,0.97769,0.96189,-1.61605,0.99717,0.98243,-1.47818
Case_1-05,gauss,1,0.7,5,33.96857,31.52126,-7.20463,0.97769,0.97335,-0.4439,0.99717,0.99156,-0.56259
Case_1-05,gauss,1,0.7,7,33.96857,31.55928,-7.0927,0.97769,0.97347,-0.43163,0.99717,0.99164,-0.55457
Case_1-05,gauss,1,0.7,9,33.96857,31.55928,-7.0927,0.97769,0.97347,-0.43163,0.99717,0.99164,-0.55457
Case_1-05,gauss,1,0.7,11,33.96857,31.55928,-7.0927,0.97769,0.97347,-0.43163,0.99717,0.99164,-0.55457
Case_1-05,gauss,1,0.7,13,33.96857,31.55928,-7.0927,0.97769,0.97347,-0.43163,0.99717,0.99164,-0.55457
Case_1-05,gauss,1,1.1,3,33.96857,28.47974,-16.15855,0.97769,0.96321,-1.48104,0.99717,0.98241,-1.48019
Case_1-05,gauss,1,1.1,5,33.96857,31.98339,-5.84417,0.97769,0.97657,-0.11456,0.99717,0.99216,-0.50242
Case_1-05,gauss,1,1.1,7,33.96857,32.09315,-5.52104,0.97769,0.97701,-0.06955,0.99717,0.99236,-0.48237
Case_1-05,gauss,1,1.1,9,33.96857,32.09629,-5.5118,0.97769,0.97703,-0.06751,0.99717,0.99237,-0.48136
Case_1-05,gauss,1,1.1,11,33.96857,32.09634,-5.51165,0.97769,0.97703,-0.06751,0.99717,0.99237,-0.48136
Case_1-05,gauss,1,1.1,13,33.96857,32.09634,-5.51165,0.97769,0.97703,-0.06751,0.99717,0.99237,-0.48136
Case_1-05,gauss,1,1.4,3,33.96857,28.48704,-16.13706,0.97769,0.96343,-1.45854,0.99717,0.9823,-1.49122
Case_1-05,gauss,1,1.4,5,33.96857,32.07717,-5.56809,0.97769,0.97742,-0.02762,0.99717,0.99207,-0.51145
Case_1-05,gauss,1,1.4,7,33.96857,32.24268,-5.08084,0.97769,0.97824,0.05626,0.99717,0.99231,-0.48738
Case_1-05,gauss,1,1.4,9,33.96857,32.25917,-5.0323,0.97769,0.97834,0.06648,0.99717,0.99233,-0.48537
Case_1-05,gauss,1,1.4,11,33.96857,32.26046,-5.0285,0.97769,0.97835,0.06751,0.99717,0.99233,-0.48537
Case_1-05,gauss,1,1.4,13,33.96857,32.26054,-5.02827,0.97769,0.97835,0.06751,0.99717,0.99233,-0.48537
Case_1-05,gauss,1,1.7,3,33.96857,28.48691,-16.13745,0.97769,0.96351,-1.45036,0.99717,0.98223,-1.49824
Case_1-05,gauss,1,1.7,5,33.96857,32.05547,-5.63197,0.97769,0.97755,-0.01432,0.99717,0.99183,-0.53552
Case_1-05,gauss,1,1.7,7,33.96857,32.16209,-5.31809,0.97769,0.97832,0.06444,0.99717,0.99184,-0.53451
Case_1-05,gauss,1,1.7,9,33.96857,32.15055,-5.35207,0.97769,0.97842,0.07467,0.99717,0.99175,-0.54354
Case_1-05,gauss,1,1.7,11,33.96857,32.14531,-5.36749,0.97769,0.97843,0.07569,0.99717,0.99173,-0.54554
Case_1-05,gauss,1,1.7,13,33.96857,32.14447,-5.36996,0.97769,0.97843,0.07569,0.99717,0.99172,-0.54655
Case_1-05,gauss,1,2,3,33.96857,28.48475,-16.14381,0.97769,0.96352,-1.44933,0.99717,0.98218,-1.50325
Case_1-05,gauss,1,2,5,33.96857,32.00416,-5.78302,0.97769,0.97743,-0.02659,0.99717,0.9916,-0.55858
Case_1-05,gauss,1,2,7,33.96857,31.97892,-5.85733,0.97769,0.97782,0.0133,0.99717,0.99122,-0.59669
Case_1-05,gauss,1,2,9,33.96857,31.85806,-6.21313,0.97769,0.97763,-0.00614,0.99717,0.99082,-0.6368
Case_1-05,gauss,1,2,11,33.96857,31.80344,-6.37392,0.97769,0.97754,-0.01534,0.99717,0.99065,-0.65385
Case_1-05,gauss,1,2,13,33.96857,31.78777,-6.42005,0.97769,0.97751,-0.01841,0.99717,0.9906,-0.65886
Case_1-06,gauss,1,0.4,3,33.43442,27.94414,-16.42104,0.97686,0.95873,-1.85595,0.99698,0.98102,-1.60083
Case_1-06,gauss,1,0.4,5,33.43442,30.39755,-9.08306,0.97686,0.96884,-0.821,0.99698,0.98927,-0.77334
Case_1-06,gauss,1,0.4,7,33.43442,30.41185,-9.04029,0.97686,0.9689,-0.81486,0.99698,0.98929,-0.77133
Case_1-06,gauss,1,0.4,9,33.43442,30.39698,-9.08477,0.97686,0.96884,-0.821,0.99698,0.98925,-0.77534
Case_1-06,gauss,1,0.4,11,33.43442,30.40699,-9.05483,0.97686,0.96888,-0.8169,0.99698,0.98928,-0.77233
Case_1-06,gauss,1,0.4,13,33.43442,30.41542,-9.02962,0.97686,0.9689,-0.81486,0.99698,0.98931,-0.76932
Case_1-06,gauss,1,0.7,3,33.43442,28.01548,-16.20767,0.97686,0.95987,-1.73925,0.99698,0.98116,-1.58679
Case_1-06,gauss,1,0.7,5,33.43442,30.65683,-8.30758,0.97686,0.97074,-0.6265,0.99698,0.98985,-0.71516
Case_1-06,gauss,1,0.7,7,33.43442,30.68725,-8.21659,0.97686,0.97086,-0.61421,0.99698,0.98993,-0.70714
Case_1-06,gauss,1,0.7,9,33.43442,30.68724,-8.21662,0.97686,0.97086,-0.61421,0.99698,0.98993,-0.70714
Case_1-06,gauss,1,0.7,11,33.43442,30.68724,-8.21662,0.97686,0.97086,-0.61421,0.99698,0.98993,-0.70714
Case_1-06,gauss,1,0.7,13,33.43442,30.68724,-8.21662,0.97686,0.97086,-0.61421,0.99698,0.98993,-0.70714
Case_1-06,gauss,1,1.1,3,33.43442,28.08554,-15.99812,0.97686,0.96118,-1.60514,0.99698,0.98106,-1.59682
Case_1-06,gauss,1,1.1,5,33.43442,31.14323,-6.85279,0.97686,0.97433,-0.25899,0.99698,0.99064,-0.63592
Case_1-06,gauss,1,1.1,7,33.43442,31.25028,-6.53261,0.97686,0.97483,-0.20781,0.99698,0.99089,-0.61084
Case_1-06,gauss,1,1.1,9,33.43442,31.25372,-6.52232,0.97686,0.97485,-0.20576,0.99698,0.9909,-0.60984
Case_1-06,gauss,1,1.1,11,33.43442,31.25377,-6.52217,0.97686,0.97485,-0.20576,0.99698,0.9909,-0.60984
Case_1-06,gauss,1,1.1,13,33.43442,31.25377,-6.52217,0.97686,0.97485,-0.20576,0.99698,0.9909,-0.60984
Case_1-06,gauss,1,1.4,3,33.43442,28.09023,-15.9841,0.97686,0.96136,-1.58672,0.99698,0.98092,-1.61086
Case_1-06,gauss,1,1.4,5,33.43442,31.24853,-6.53784,0.97686,0.97525,-0.16481,0.99698,0.9906,-0.63993
Case_1-06,gauss,1,1.4,7,33.43442,31.41982,-6.02553,0.97686,0.9762,-0.06756,0.99698,0.99093,-0.60683
Case_1-06,gauss,1,1.4,9,33.43442,31.43758,-5.97241,0.97686,0.97631,-0.0563,0.99698,0.99095,-0.60483
Case_1-06,gauss,1,1.4,11,33.43442,31.43878,-5.96882,0.97686,0.97632,-0.05528,0.99698,0.99095,-0.60483
Case_1-06,gauss,1,1.4,13,33.43442,31.4388,-5.96876,0.97686,0.97632,-0.05528,0.99698,0.99095,-0.60483
Case_1-06,gauss,1,1.7,3,33.43442,28.08802,-15.99071,0.97686,0.96139,-1.58365,0.99698,0.98082,-1.6209
Case_1-06,gauss,1,1.7,5,33.43442,31.23018,-6.59273,0.97686,0.97535,-0.15458,0.99698,0.99034,-0.66601
Case_1-06,gauss,1,1.7,7,33.43442,31.33664,-6.27431,0.97686,0.9762,-0.06756,0.99698,0.99042,-0.65799
