name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_10-02,avg,otsu,8,33.66156,27.60105,-18.00425,0.96895,0.9137,-5.70205,44.9721,51.88028,15.36103
Case_10-02,avg,otsu,10,33.66156,25.84108,-23.23267,0.96895,0.88267,-8.90448,44.9721,51.76547,15.10574
Case_10-02,avg,otsu,12,33.66156,24.44556,-27.37841,0.96895,0.85485,-11.77563,44.9721,50.5291,12.35655
Case_10-03,avg,otsu,2,32.56373,17.38734,-46.6052,0.96066,0.72146,-24.89955,41.34668,41.8158,1.1346
Case_10-03,avg,otsu,4,32.56373,29.06024,-10.75887,0.96066,0.94098,-2.04859,41.34668,50.57017,22.30769
Case_10-03,avg,otsu,6,32.56373,28.63262,-12.07205,0.96066,0.9254,-3.67039,41.34668,54.16284,30.99683
Case_10-03,avg,otsu,8,32.56373,26.7681,-17.79781,0.96066,0.89144,-7.20546,41.34668,54.15758,30.98411
Case_10-03,avg,otsu,10,32.56373,25.21502,-22.56716,0.96066,0.85846,-10.63852,41.34668,52.73362,27.54016
Case_10-03,avg,otsu,12,32.56373,24.05251,-26.13712,0.96066,0.83239,-13.35228,41.34668,53.18533,28.63265
Case_10-04,avg,otsu,2,32.98354,17.22759,-47.76913,0.96681,0.72891,-24.6067,42.21906,41.39321,-1.95611
Case_10-04,avg,otsu,4,32.98354,28.76051,-12.80345,0.96681,0.94549,-2.20519,42.21906,50.38515,19.34219
Case_10-04,avg,otsu,6,32.98354,28.64072,-13.16663,0.96681,0.93327,-3.46914,42.21906,52.67522,24.76644
Case_10-04,avg,otsu,8,32.98354,26.72539,-18.97355,0.96681,0.90167,-6.73762,42.21906,53.97999,27.85692
Case_10-04,avg,otsu,10,32.98354,25.05288,-24.0443,0.96681,0.86921,-10.09505,42.21906,51.88654,22.89838
Case_10-04,avg,otsu,12,32.98354,23.77009,-27.93348,0.96681,0.84212,-12.89705,42.21906,50.89779,20.55643
Case_10-05,avg,otsu,2,34.76679,16.73205,-51.87347,0.97183,0.70888,-27.0572,50.27254,41.56361,-17.32343
Case_10-05,avg,otsu,4,34.76679,28.9448,-16.74584,0.97183,0.95073,-2.17116,50.27254,55.24883,9.89862
Case_10-05,avg,otsu,6,34.76679,31.60344,-9.09877,0.97183,0.9588,-1.34077,50.27254,55.64936,10.69534
Case_10-05,avg,otsu,8,34.76679,30.16832,-13.22662,0.97183,0.94522,-2.73813,50.27254,55.99801,11.38886
Case_10-05,avg,otsu,10,34.76679,28.59834,-17.74236,0.97183,0.9285,-4.4586,50.27254,51.2254,1.89539
Case_10-05,avg,otsu,12,34.76679,27.26437,-21.57927,0.97183,0.91279,-6.07514,50.27254,56.43896,12.26598
Case_10-06,avg,otsu,2,33.63674,16.75747,-50.18105,0.96951,0.71019,-26.74753,45.24391,39.27637,-13.18971
Case_10-06,avg,otsu,4,33.63674,28.55448,-15.10925,0.96951,0.94717,-2.30426,45.24391,46.68631,3.18805
Case_10-06,avg,otsu,6,33.63674,29.59137,-12.02664,0.96951,0.9447,-2.55902,45.24391,45.89538,1.43991
Case_10-06,avg,otsu,8,33.63674,27.79985,-17.35272,0.96951,0.92005,-5.10155,45.24391,51.0395,12.80966
Case_10-06,avg,otsu,10,33.63674,26.0369,-22.59387,0.96951,0.89169,-8.02674,45.24391,51.0153,12.75617
Case_10-06,avg,otsu,12,33.63674,24.61038,-26.83482,0.96951,0.86592,-10.68478,45.24391,49.74638,9.95155
Case_10-07,avg,otsu,2,33.55548,16.92831,-49.55128,0.97094,0.71436,-26.42594,43.70501,40.6605,-6.96604
Case_10-07,avg,otsu,4,33.55548,29.08296,-13.32873,0.97094,0.95057,-2.09797,43.70501,51.22489,17.20599
Case_10-07,avg,otsu,6,33.55548,29.43729,-12.27278,0.97094,0.9442,-2.75403,43.70501,52.87747,20.9872
Case_10-07,avg,otsu,8,33.55548,27.52443,-17.97337,0.97094,0.91803,-5.44936,43.70501,53.98445,23.52005
Case_10-07,avg,otsu,10,33.55548,25.79567,-23.12531,0.97094,0.88945,-8.3929,43.70501,52.41967,19.93973
Case_10-07,avg,otsu,12,33.55548,24.45828,-27.11092,0.97094,0.86467,-10.94506,43.70501,51.82505,18.5792
Case_10-08,avg,otsu,2,33.53521,16.83836,-49.78901,0.97055,0.70872,-26.97749,43.71998,40.57039,-7.20401
Case_10-08,avg,otsu,4,33.53521,29.14777,-13.08308,0.97055,0.95094,-2.0205,43.71998,51.19519,17.09793
Case_10-08,avg,otsu,6,33.53521,29.54907,-11.88643,0.97055,0.94518,-2.61398,43.71998,52.44842,19.96442
Case_10-08,avg,otsu,8,33.53521,27.63233,-17.60204,0.97055,0.91939,-5.27124,43.71998,53.92515,23.34212
Case_10-08,avg,otsu,10,33.53521,25.88869,-22.80147,0.97055,0.89092,-8.20463,43.71998,52.55676,20.21222
Case_10-08,avg,otsu,12,33.53521,24.53896,-26.82628,0.97055,0.8661,-10.76194,43.71998,51.75027,18.36755
Case_10-09,avg,otsu,2,33.12456,17.1447,-48.24173,0.96886,0.72535,-25.13366,44.10499,40.14427,-8.98021
Case_10-09,avg,otsu,4,33.12456,29.49218,-10.96582,0.96886,0.95186,-1.75464,44.10499,49.46022,12.142
Case_10-09,avg,otsu,6,33.12456,29.44733,-11.10122,0.96886,0.94284,-2.68563,44.10499,52.68384,19.45097
Case_10-09,avg,otsu,8,33.12456,27.55012,-16.82872,0.96886,0.91577,-5.47964,44.10499,54.01914,22.47852
Case_10-09,avg,otsu,10,33.12456,25.89888,-21.81366,0.96886,0.88757,-8.39027,44.10499,54.02127,22.48335
Case_10-09,avg,otsu,12,33.12456,24.64454,-25.6004,0.96886,0.86428,-10.79413,44.10499,53.51304,21.33103
Case_10-10,avg,otsu,2,33.95052,17.10852,-49.60749,0.96517,0.69851,-27.62829,42.05489,39.73447,-5.5176
Case_10-10,avg,otsu,4,33.95052,29.87597,-12.00144,0.96517,0.94574,-2.01312,42.05489,53.09185,26.24418
Case_10-10,avg,otsu,6,33.95052,30.31605,-10.7052,0.96517,0.93713,-2.90519,42.05489,57.10953,35.7976
Case_10-10,avg,otsu,8,33.95052,28.5982,-15.76506,0.96517,0.91084,-5.62906,42.05489,55.51348,32.00244
Case_10-10,avg,otsu,10,33.95052,27.1139,-20.13701,0.96517,0.88525,-8.28041,42.05489,56.78025,35.01462
Case_10-10,avg,otsu,12,33.95052,25.98043,-23.47561,0.96517,0.86502,-10.37641,42.05489,56.63396,34.66677
Case_11-07,avg,otsu,2,34.08888,15.604,-54.22554,0.9629,0.64802,-32.70122,54.24215,43.39528,-19.99712
Case_11-07,avg,otsu,4,34.08888,29.77634,-12.65087,0.9629,0.94483,-1.87662,54.24215,50.76469,-6.41099
Case_11-07,avg,otsu,6,34.08888,30.64327,-10.10772,0.9629,0.94205,-2.16533,54.24215,50.38237,-7.11583
Case_11-07,avg,otsu,8,34.08888,28.76739,-15.61063,0.9629,0.91667,-4.80112,54.24215,55.1833,1.73509
Case_11-07,avg,otsu,10,34.08888,27.07793,-20.56668,0.9629,0.88816,-7.76197,54.24215,57.51779,6.03892
Case_11-07,avg,otsu,12,34.08888,25.79498,-24.33022,0.9629,0.8637,-10.30221,54.24215,58.58524,8.00685
Case_11-09,avg,otsu,2,38.54692,18.10747,-53.02486,0.96482,0.81801,-15.21631,48.08917,51.42828,6.94358
Case_11-09,avg,otsu,4,38.54692,29.84902,-22.56445,0.96482,0.94819,-1.72364,48.08917,49.37298,2.66964
Case_11-09,avg,otsu,6,38.54692,36.00979,-6.58193,0.96482,0.96335,-0.15236,48.08917,48.1897,0.20905
Case_11-09,avg,otsu,8,38.54692,34.89501,-9.47393,0.96482,0.95846,-0.65919,48.08917,48.92427,1.73657
Case_11-09,avg,otsu,10,38.54692,33.47961,-13.14582,0.96482,0.95148,-1.38264,48.08917,49.82842,3.61672
Case_11-09,avg,otsu,12,38.54692,32.21248,-16.43306,0.96482,0.94455,-2.10091,48.08917,50.38103,4.76585
