name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-08,avg,fixed_multilevel_tresholding,9,34.15219,30.81756,-9.76403,0.97482,0.96932,-0.56421,0.99749,0.98848,-0.90327,5.59093,24.89576,345.28835,0.991580009460449,0.95236998796463,-3.95429992675781
Case_1-08,avg,fixed_multilevel_tresholding,11,34.15219,29.11262,-14.75621,0.97482,0.96144,-1.37256,0.99749,0.98231,-1.52182,5.59093,34.67958,520.28285,0.991580009460449,0.925809979438782,-6.6328501701355
Case_1-08,avg,fixed_multilevel_tresholding,13,34.15219,27.6495,-19.04033,0.97482,0.95313,-2.22503,0.99749,0.97483,-2.2717,5.59093,43.58342,679.53793,0.991580009460449,0.895380020141602,-9.70168972015381
Case_10-01,avg,fixed_multilevel_tresholding,3,32.91349,24.52952,-25.47275,0.96404,0.91408,-5.18236,0.99302,0.92325,-7.02604,8.02992,8.64947,7.71552,0.99141001701355,0.967960000038147,-2.3653199672699
Case_10-01,avg,fixed_multilevel_tresholding,5,32.91349,31.0057,-5.79638,0.96404,0.95083,-1.37028,0.99302,0.98198,-1.11176,8.02992,20.70776,157.88252,0.99141001701355,0.969720005989075,-2.18778991699219
Case_10-01,avg,fixed_multilevel_tresholding,7,32.91349,28.34319,-13.8858,0.96404,0.91677,-4.90332,0.99302,0.96165,-3.15905,8.02992,37.50951,367.12184,0.99141001701355,0.926010012626648,-6.59667015075684
Case_10-01,avg,fixed_multilevel_tresholding,9,32.91349,26.24916,-20.24802,0.96404,0.88057,-8.65835,0.99302,0.93327,-6.017,8.02992,50.05328,523.33473,0.99141001701355,0.864700019359589,-12.7807903289795
Case_10-01,avg,fixed_multilevel_tresholding,11,32.91349,24.79076,-24.67903,0.96404,0.8511,-11.71528,0.99302,0.90229,-9.13677,8.02992,58.44809,627.87886,0.99141001701355,0.797249972820282,-19.5842304229736
Case_10-01,avg,fixed_multilevel_tresholding,13,32.91349,23.73977,-27.87222,0.96404,0.82919,-13.98801,0.99302,0.87111,-12.27669,8.02992,64.24873,700.11669,0.99141001701355,0.730419993400574,-26.3251304626465
Case_10-02,avg,fixed_multilevel_tresholding,3,33.66156,23.14213,-31.25057,0.96895,0.8985,-7.27076,0.99416,0.89988,-9.48338,6.85,7.7523,13.17226,0.992160022258759,0.960430026054382,-3.19807004928589
Case_10-02,avg,fixed_multilevel_tresholding,5,33.66156,31.39586,-6.73082,0.96895,0.95817,-1.11254,0.99416,0.98404,-1.01794,6.85,17.02747,148.5762,0.992160022258759,0.975639998912811,-1.66506004333496
Case_10-02,avg,fixed_multilevel_tresholding,7,33.66156,29.14961,-13.40386,0.96895,0.93137,-3.87843,0.99416,0.97078,-2.35173,6.85,32.93632,380.82219,0.992160022258759,0.939649999141693,-5.29250001907349
Case_10-02,avg,fixed_multilevel_tresholding,9,33.66156,26.80911,-20.3569,0.96895,0.89727,-7.3977,0.99416,0.9461,-4.83423,6.85,47.19195,588.93358,0.992160022258759,0.884220004081726,-10.8793001174927
Case_10-02,avg,fixed_multilevel_tresholding,11,33.66156,25.0989,-25.4375,0.96895,0.86619,-10.60529,0.99416,0.91583,-7.87901,6.85,57.1779,734.71387,0.992160022258759,0.818250000476837,-17.5284309387207
Case_10-02,avg,fixed_multilevel_tresholding,13,33.66156,23.84499,-29.16255,0.96895,0.84088,-13.2174,0.99416,0.88271,-11.21047,6.85,64.18308,836.97927,0.992160022258759,0.748910009860992,-24.517219543457
Case_10-03,avg,fixed_multilevel_tresholding,3,32.56373,24.89152,-23.5606,0.96066,0.91713,-4.53126,0.99237,0.92634,-6.65377,8.52616,9.41337,10.40574,0.991349995136261,0.971400022506714,-2.01239991188049
Case_10-03,avg,fixed_multilevel_tresholding,5,32.56373,30.74788,-5.5763,0.96066,0.94702,-1.41986,0.99237,0.98003,-1.24349,8.52616,22.44729,163.2755,0.991349995136261,0.968500018119812,-2.30493998527527
