name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_10-01,gauss,otsu,0.7,4,32.91349,32.22842,-2.08143,0.96404,0.96407,0.00311,0.99302,0.98941,-0.36354,8.02992,10.09765,25.75032,0.99141001701355,0.990339994430542,-0.10792999714613
Case_10-01,gauss,otsu,1.1,6,32.91349,32.54868,-1.10839,0.96404,0.96461,0.05913,0.99302,0.98947,-0.3575,8.02992,11.9242,48.49712,0.99141001701355,0.985339999198914,-0.612259984016418
Case_10-01,gauss,otsu,1.4,8,32.91349,31.83979,-3.26219,0.96404,0.95866,-0.55807,0.99302,0.98613,-0.69384,8.02992,16.72644,108.30145,0.99141001701355,0.976320028305054,-1.52207005023956
Case_10-01,gauss,otsu,1.7,10,32.91349,30.68826,-6.76084,0.96404,0.94851,-1.61093,0.99302,0.98012,-1.29907,8.02992,23.54864,193.2612,0.99141001701355,0.962580025196075,-2.90797996520996
Case_10-01,gauss,otsu,2,12,32.91349,29.4738,-10.4507,0.96404,0.93581,-2.9283,0.99302,0.97198,-2.11879,8.02992,30.87795,284.53621,0.99141001701355,0.944580018520355,-4.72357988357544
Case_10-02,gauss,otsu,0.4,2,33.66156,23.18785,-31.11475,0.96895,0.89495,-7.63713,0.99416,0.90582,-8.88589,6.85,10.66473,55.68949,0.992160022258759,0.962300002574921,-3.00959992408752
Case_10-02,gauss,otsu,0.7,4,33.66156,32.523,-3.38237,0.96895,0.96723,-0.17751,0.99416,0.98978,-0.44057,6.85,9.53134,39.14365,0.992160022258759,0.991140007972717,-0.102810002863407
Case_10-02,gauss,otsu,1.1,6,33.66156,33.04692,-1.82594,0.96895,0.96891,-0.00413,0.99416,0.99081,-0.33697,6.85,10.43901,52.39431,0.992160022258759,0.987569987773895,-0.46263000369072
Case_10-02,gauss,otsu,1.4,8,33.66156,32.53964,-3.33294,0.96895,0.96494,-0.41385,0.99416,0.98894,-0.52507,6.85,13.98553,104.16832,0.992160022258759,0.980579972267151,-1.16716003417969
Case_10-02,gauss,otsu,1.7,10,33.66156,31.46412,-6.52804,0.96895,0.95705,-1.22813,0.99416,0.98472,-0.94955,6.85,19.83082,189.50102,0.992160022258759,0.969399988651276,-2.29398989677429
Case_10-02,gauss,otsu,2,12,33.66156,30.21131,-10.24982,0.96895,0.94636,-2.33139,0.99416,0.97839,-1.58626,6.85,26.91771,292.95927,0.992160022258759,0.954100012779236,-3.8360800743103
Case_10-03,gauss,otsu,0.4,2,32.56373,24.82539,-23.76368,0.96066,0.91188,-5.07776,0.99237,0.93072,-6.2124,8.52616,11.9214,39.82144,0.991349995136261,0.973760008811951,-1.77435004711151
Case_10-03,gauss,otsu,0.7,4,32.56373,31.99906,-1.73405,0.96066,0.96154,0.0916,0.99237,0.98867,-0.37284,8.52616,10.56007,23.85494,0.991349995136261,0.990270018577576,-0.108939997851849
Case_10-03,gauss,otsu,1.1,6,32.56373,32.28319,-0.86151,0.96066,0.96202,0.14157,0.99237,0.98843,-0.39703,8.52616,12.84258,50.6256,0.991349995136261,0.984939992427826,-0.646589994430542
Case_10-03,gauss,otsu,1.4,8,32.56373,31.53786,-3.15035,0.96066,0.95546,-0.54129,0.99237,0.98448,-0.79507,8.52616,18.14559,112.82254,0.991349995136261,0.975480020046234,-1.60083997249603
Case_10-03,gauss,otsu,1.7,10,32.56373,30.36702,-6.74588,0.96066,0.94444,-1.68842,0.99237,0.97758,-1.49037,8.52616,25.30356,196.77557,0.991349995136261,0.961250007152557,-3.03625988960266
Case_10-03,gauss,otsu,2,12,32.56373,29.15682,-10.46228,0.96066,0.93079,-3.10932,0.99237,0.96844,-2.4114,8.52616,32.73359,283.91949,0.991349995136261,0.942870020866394,-4.89029979705811
Case_10-04,gauss,otsu,0.4,2,32.98354,24.20868,-26.60375,0.96681,0.91195,-5.67433,0.99397,0.93183,-6.2517,7.88864,11.59335,46.96259,0.992299973964691,0.972400009632111,-2.00543999671936
Case_10-04,gauss,otsu,0.7,4,32.98354,32.06077,-2.79767,0.96681,0.96614,-0.0693,0.99397,0.98997,-0.40243,7.88864,10.37939,31.57388,0.992299973964691,0.991129994392395,-0.117909997701645
Case_10-04,gauss,otsu,1.1,6,32.98354,32.42333,-1.69845,0.96681,0.96673,-0.00827,0.99397,0.99031,-0.36822,7.88864,12.41333,57.35703,0.992299973964691,0.986440002918243,-0.590539991855621
Case_10-04,gauss,otsu,1.4,8,32.98354,31.70999,-3.86117,0.96681,0.96099,-0.60198,0.99397,0.98745,-0.65596,7.88864,17.44168,121.09869,0.992299973964691,0.977959990501404,-1.4451299905777
Case_10-04,gauss,otsu,1.7,10,32.98354,30.51394,-7.48737,0.96681,0.95107,-1.62803,0.99397,0.98203,-1.20124,7.88864,24.53902,211.06781,0.992299973964691,0.965020000934601,-2.74917006492615
Case_10-04,gauss,otsu,2,12,32.98354,29.24092,-11.34693,0.96681,0.93849,-2.92922,0.99397,0.9745,-1.95881,7.88864,32.20203,308.20763,0.992299973964691,0.948000013828278,-4.46436977386475
Case_10-05,gauss,otsu,0.4,2,34.76679,22.69488,-34.72253,0.97183,0.88571,-8.86163,0.99576,0.90033,-9.58363,5.46929,7.99733,46.22245,0.989979982376099,0.942399978637695,-4.80615997314453
Case_10-05,gauss,otsu,0.7,4,34.76679,33.53037,-3.55632,0.97183,0.97012,-0.17596,0.99576,0.99266,-0.31132,5.46929,7.13747,30.50085,0.989979982376099,0.989619970321655,-0.0363700017333031
Case_10-05,gauss,otsu,1.1,6,34.76679,34.50418,-0.75535,0.97183,0.97348,0.16978,0.99576,0.99432,-0.14461,5.46929,7.10758,29.95435,0.989979982376099,0.987640023231506,-0.236359998583794
Case_10-05,gauss,otsu,1.4,8,34.76679,34.27482,-1.41506,0.97183,0.97225,0.04322,0.99576,0.99356,-0.22094,5.46929,8.60504,57.33377,0.989979982376099,0.982829988002777,-0.722239971160889
Case_10-05,gauss,otsu,1.7,10,34.76679,33.54826,-3.50487,0.97183,0.96865,-0.32722,0.99576,0.99162,-0.41576,5.46929,11.49411,110.15726,0.989979982376099,0.97503000497818,-1.51013004779816
Case_10-05,gauss,otsu,2,12,34.76679,32.57592,-6.30162,0.97183,0.96327,-0.88081,0.99576,0.98864,-0.71503,5.46929,15.42967,182.11468,0.989979982376099,0.964290022850037,-2.59500002861023
Case_10-06,gauss,otsu,0.4,2,33.63674,23.10446,-31.31183,0.96951,0.89666,-7.51411,0.99485,0.91393,-8.13389,6.77943,10.58149,56.0823,0.99251002073288,0.962870001792908,-2.98637008666992
Case_10-06,gauss,otsu,0.7,4,33.63674,32.42174,-3.61212,0.96951,0.96779,-0.17741,0.99485,0.99064,-0.42318,6.77943,9.51739,40.38629,0.99251002073288,0.991450011730194,-0.106799997389317
Case_10-06,gauss,otsu,1.1,6,33.63674,33.03785,-1.78046,0.96951,0.96988,0.03816,0.99485,0.99179,-0.30758,6.77943,10.38582,53.19607,0.99251002073288,0.988240003585815,-0.430220007896423
Case_10-06,gauss,otsu,1.4,8,33.63674,32.59297,-3.10307,0.96951,0.96645,-0.31562,0.99485,0.99025,-0.46238,6.77943,13.72092,102.39047,0.99251002073288,0.981890022754669,-1.07000994682312
Case_10-06,gauss,otsu,1.7,10,33.63674,31.58381,-6.10324,0.96951,0.9594,-1.04279,0.99485,0.98673,-0.8162,6.77943,19.22675,183.60423,0.99251002073288,0.971780002117157,-2.08864998817444
Case_10-06,gauss,otsu,2,12,33.63674,30.37478,-9.69761,0.96951,0.94977,-2.03608,0.99485,0.98142,-1.34995,6.77943,26.04064,284.11253,0.99251002073288,0.958010017871857,-3.47603988647461
Case_10-07,gauss,otsu,0.4,2,33.55548,23.67677,-29.43993,0.97094,0.90536,-6.75428,0.99408,0.91643,-7.81124,7.06893,10.73888,51.91663,0.99194997549057,0.965049982070923,-2.71182990074158
Case_10-07,gauss,otsu,0.7,4,33.55548,32.53551,-3.03965,0.97094,0.96932,-0.16685,0.99408,0.99016,-0.39433,7.06893,9.49604,34.3349,0.99194997549057,0.990869998931885,-0.108869999647141
Case_10-07,gauss,otsu,1.1,6,33.55548,32.95313,-1.79509,0.97094,0.97051,-0.04429,0.99408,0.99087,-0.32291,7.06893,10.58446,49.73214,0.99194997549057,0.986940026283264,-0.505060017108917
Case_10-07,gauss,otsu,1.4,8,33.55548,32.34844,-3.59715,0.97094,0.96632,-0.47583,0.99408,0.98864,-0.54724,7.06893,14.39409,103.62474,0.99194997549057,0.979409992694855,-1.26417005062103
Case_10-07,gauss,otsu,1.7,10,33.55548,31.23194,-6.92447,0.97094,0.95849,-1.28226,0.99408,0.98403,-1.01099,7.06893,20.4385,189.13145,0.99194997549057,0.967549979686737,-2.45980000495911
Case_10-07,gauss,otsu,2,12,33.55548,29.99021,-10.625,0.97094,0.94819,-2.34309,0.99408,0.97739,-1.67894,7.06893,27.52984,289.44847,0.99194997549057,0.951550006866455,-4.0727801322937
Case_10-08,gauss,otsu,0.4,2,33.53521,23.59212,-29.6497,0.97055,0.90329,-6.93009,0.99412,0.91509,-7.94974,7.07475,10.79348,52.56341,0.991919994354248,0.964219987392426,-2.79256010055542
Case_10-08,gauss,otsu,0.7,4,33.53521,32.56219,-2.90149,0.97055,0.96912,-0.14734,0.99412,0.99026,-0.38828,7.07475,9.54752,34.95205,0.991919994354248,0.99084997177124,-0.107869997620583
Case_10-08,gauss,otsu,1.1,6,33.53521,33.01739,-1.54411,0.97055,0.97068,0.01339,0.99412,0.99093,-0.32089,7.07475,10.57872,49.52783,0.991919994354248,0.986989974975586,-0.49702000617981
