name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_12-08,avg,multi,9,34.3592651562103,29.692319482198,-13.5827866306064,0.978908651363141,0.95257453853113,-2.69015017850136,51.1811030042616,58.8586888641451,15.0008214149747,12.3059691718057,18.012957977439,46.3757768767094
Case_12-09,avg,multi,9,34.4576868996664,29.6721731174329,-13.8880877180407,0.980452848283641,0.956559658536787,-2.43695449390351,51.6640776793682,59.232193957502,14.6487010280183,12.2244445656093,16.9828229654584,38.9251092293851
Case_12-10,avg,multi,9,34.418402678165,30.9356615260422,-10.1188343476853,0.979808857368622,0.969308913905456,-1.07163181718574,52.145644490596,56.4463994277919,8.2475822845981,11.6298697788317,18.7500887799806,61.2235488148712
Case_12-11,avg,multi,9,34.3649569062055,29.2849232960476,-14.782598517505,0.979636465140792,0.955037026841297,-2.51107825962356,51.4789978095482,57.6728216471793,12.0317490650183,11.3341019063864,16.4398255341489,45.0474476931048
Case_12-12,avg,multi,9,34.4456022333631,29.9399206416681,-13.0805713924518,0.975625320740265,0.952803706581223,-2.3391781326182,52.4592206940962,59.0115065031724,12.4902461805226,12.0093137362869,16.9965739175073,41.5282695642388
Case_13-01,avg,multi,9,33.5734549689671,27.3981212319191,-18.3935008856134,0.963892288120713,0.897238941184271,-6.91502025256319,42.4256357188115,59.3946806869562,39.9971495550757,11.8435650109216,15.5881117884527,31.6167199156506
Case_13-02,avg,multi,9,33.5893042382294,26.9182989556399,-19.8605045084467,0.961900246504194,0.87727919281274,-8.79727955149096,43.4465766997105,58.5026313699839,34.6541794865365,11.8185848342619,15.3203560650226,29.6293615510473
Case_13-03,avg,multi,9,33.7669729311817,27.0716005376035,-19.8281688063175,0.96531857173916,0.89053987179683,-7.74653074451945,43.6641737668914,59.3190645193143,35.8529416725009,12.0002372807545,15.3694265489958,28.0760220770358
Case_13-04,avg,multi,9,34.317473468788,29.1401547465773,-15.0865381360884,0.96192307886004,0.91368208925308,-5.01505688626682,48.3487693949386,61.1346899856508,26.4451830950857,11.6003430770583,16.2089897935514,39.7285380775286
Case_13-05,avg,multi,9,34.0426830484369,29.194939803541,-14.2401914619902,0.964484757049087,0.924321987987123,-4.16416835708689,45.5104757712383,60.8380738364921,33.6792745087947,12.8761639677619,15.8110227195168,22.7929588276667
Case_13-06,avg,multi,9,33.804442901873,27.3052363060355,-19.2258946988221,0.967747053216277,0.900020819370137,-6.9983404879461,42.9298852789818,58.993456119212,37.4181545928677,11.6680756159511,15.9877939143881,37.0216858427938
Case_13-07,avg,multi,9,33.5200103931765,28.0153721232261,-16.4219467875553,0.963673977855622,0.908658535458379,-5.70892684263031,42.1529728299561,59.9492884485939,42.2184117130423,11.9961492570636,15.6957872908658,30.8402134261858
Case_13-10,avg,multi,9,33.76460784025,27.8960795061409,-17.3807092973647,0.959250005653262,0.896221664823341,-6.57058540093498,44.0459735744166,59.5419968537765,35.1814752219726,11.7124583700501,15.6108597832883,33.2842285545003
Case_13-11,avg,multi,9,33.5820637761932,26.9191715161287,-19.8406277364882,0.959820323934723,0.882624968143223,-8.04268818512222,43.1692444796662,58.2137718723304,34.8501058427154,11.5483806645208,15.522352008137,34.4115028683215
Case_13-12,avg,multi,9,34.232880713446,27.3971812928869,-19.9682272659987,0.964509571822514,0.892321449947361,-7.48443810036524,52.1007073157787,52.9074065633464,1.54834605733533,11.1309820637352,14.7959168993364,32.9255299722521
Case_14-01,avg,multi,9,34.4419980029728,29.850552508414,-13.330949889035,0.947327392242726,0.892372893762102,-5.80100384836585,51.727262608859,59.4405273785398,14.9114110831757,11.7036950549252,17.588790861172,50.284083604607
Case_14-02,avg,multi,9,34.2478029554178,29.0099806122414,-15.2938930126256,0.941432340479981,0.857454523207862,-8.92021801899262,47.5013131559629,59.9642455550138,26.2370270862425,12.0924939261325,17.1909401985737,42.1620742882755
Case_14-03,avg,multi,9,34.3405892981906,28.93767820748,-15.7333091863838,0.950752138166395,0.881553929220655,-7.278259618663,51.0013740723268,58.7771335699789,15.2461764787455,11.7634943681387,16.4573129668818,39.9015671011513
Case_14-04,avg,multi,9,34.8077347314025,29.0226686319412,-16.6200591451939,0.974895592200096,0.933211157197297,-4.27578453901181,52.1946362431488,59.1156494203959,13.260008451837,12.0903758548334,15.5693331866845,28.7746003401571
Case_14-05,avg,multi,9,34.2199031150262,28.759933845627,-15.9555369021536,0.952001059798496,0.886678403422059,-6.86161593037134,52.509508878347,57.4706433720387,9.44806873967457,12.0783774256294,16.4747648765827,36.3988249085883
Case_14-06,avg,multi,9,34.3206952786451,28.945946232825,-15.660373434114,0.965586180693463,0.916208639588447,-5.1137373434191,51.9393833937073,58.6937254136746,13.0042784080984,12.3792991544945,16.2448753181146,31.2261309414811
