sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
1.1,15,1.93103489724249,0.567635502469943,13.2662913171884,-20.7263444073164
1.4,15,0.133862620652551,0.281977869512589,16.1188886350946,-8.58983088690655
1.7,15,-2.38495053352501,-0.173934762507293,17.5468877661154,3.72686717458523
2,15,-5.11793534452113,-0.734670274193052,17.7417135430237,16.2761357920917
2.3,15,-7.75105294015406,-1.34033717054664,17.577113764389,27.5897685174215
2.6,15,-10.1157754235732,-1.94407798633145,17.5229011365845,37.4543201082027
2.9,15,-12.1420110978119,-2.51202457943803,17.7648681417948,45.620955459342
0.4,17,0.161251793493128,0.085121938662169,-0.343788821882374,-21.6804842349903
0.7,17,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
1.1,17,1.93103489724249,0.567635502469943,13.2662913171884,-20.7263444073164
1.4,17,0.133860817550728,0.281977803897689,16.1190791448988,-8.58953048235962
1.7,17,-2.38531244357376,-0.173972064284757,17.5467779265152,3.72590105054966
2,17,-5.12495938465211,-0.735529800276885,17.7419177059846,16.295568049935
2.3,17,-7.79275920698771,-1.34631788713731,17.5895447216997,27.6540228563675
2.6,17,-10.2446945463184,-1.96544946504948,17.570291668278,37.7074319882188
2.9,17,-12.4135374698225,-2.5630697335942,17.8449009949821,46.2356952552943
0.4,19,0.161252132797575,0.0851219607284375,-0.343788771859792,-21.680485321319
0.7,19,2.25430634188827,0.579638118061694,7.19286389231328,-42.8188963013157
1.1,19,1.93103489724249,0.567635502469943,13.2662913171884,-20.7263444073164
1.4,19,0.133860809551713,0.281977797311334,16.1190791309668,-8.58952757032477
1.7,19,-2.38533248258488,-0.173973980681189,17.5468371971348,3.72498846732159
2,19,-5.12583013393984,-0.735626393386625,17.7415994770629,16.2945881395858
2.3,19,-7.80153417659858,-1.34746462744233,17.591798323781,27.7164470730426
2.6,19,-10.2834860424567,-1.97132262860451,17.5844258427632,37.7679162015641
2.9,19,-12.5182714742809,-2.58105418057299,17.8774441012208,46.3706993887445
