sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.7,11,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,11,3.79005422722923,1.970954308279,5.87315321784091,-39.5672904342012,10
1.4,11,3.74100759086048,2.00037583711615,6.94822448536822,-34.345109399664,10
1.7,11,3.10943109497572,1.82249274915212,8.59287790986463,-25.5042595581402,10
2.3,11,1.00078195872958,1.14371767972141,9.53711027985764,-10.6930815470835,10
2.6,11,-0.0284936242683774,0.791487860508242,9.5737601788248,-4.70319372495908,10
2.9,11,-0.916307132661541,0.472857573704763,9.36580167755598,-1.01773202429394,10
2,11,2.10329380082283,1.50618404233241,9.0948487186536,-17.6383573139047,10
0.4,13,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,13,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,13,3.79005478367133,1.97095449180054,5.87327553439145,-39.566451024905,10
1.4,13,3.74064781742478,2.00033044231791,6.94725086921425,-34.3494662578319,10
1.7,13,3.09583046784546,1.81989020059821,8.60595038871094,-25.4634621071537,10
2.3,13,0.732907835493207,1.0826733942395,9.70610420639929,-9.67045668586744,10
2.6,13,-0.559982641630964,0.658586566683556,9.7524951822147,-3.10777992507643,10
2.9,13,-1.74331709955883,0.253486807976592,9.73901142027282,1.95819524246836,10
2,13,2.01417803989377,1.486768916152,9.16698508554179,-16.898144503058,10
0.4,15,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,15,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,15,3.79005483195665,1.9709545030934,5.87327559076612,-39.5664614795124,10
1.4,15,3.74063530028177,2.00032999608843,6.94836631943681,-34.3478085538868,10
1.7,15,3.09436175718353,1.81967105333749,8.60811081274321,-25.4633968436616,10
2.3,15,0.645841855605706,1.06581349075465,9.81646150852978,-9.4575831071,10
2.6,15,-0.787543245206058,0.610454758209196,9.85944115965835,-2.64828326308634,10
2.9,15,-2.16903522184212,0.159127778547742,10.0426442798012,3.19649208301774,10
2,15,1.99536348842732,1.48355286186452,9.16555747436855,-16.8855221883769,10
0.4,17,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,17,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,17,3.79005483195665,1.9709545030934,5.87327559076612,-39.5664614795124,10
1.4,17,3.74063523137576,2.00033011468286,6.94812966281311,-34.347609086309,10
1.7,17,3.09425117274357,1.81965747239075,8.60725021989707,-25.4634963725356,10
2.3,17,0.623678085530293,1.06238963394008,9.84995492384531,-9.37569897480156,10
2.6,17,-0.868011380411567,0.596303642663479,9.95405021032776,-2.37161859342252,10
2.9,17,-2.35819969875307,0.123213952977362,10.1718684532709,3.69159989839792,10
2,17,1.99241787523361,1.48314413320876,9.16701475923336,-16.8581592208904,10
0.4,19,0.551385739895461,0.302363953025645,-1.45351458727865,-17.8930191045846,10
0.7,19,2.75052972142677,1.47367113632847,2.14170633247249,-54.1254638829465,10
1.1,19,3.79005483195665,1.9709545030934,5.87327559076612,-39.5664614795124,10
1.4,19,3.74063518443089,2.00033010380568,6.94812969361047,-34.3476508901539,10
1.7,19,3.09424457108184,1.81965668597763,8.60738720266364,-25.4660971928803,10
2.3,19,0.619180853957682,1.06183828797778,9.85461110673524,-9.35911217721867,10
2.6,19,-0.891862201108575,0.592878737942457,9.9702175015251,-2.34622335759184,10
2.9,19,-2.43098907901356,0.111366692729816,10.223277118753,3.85960423125177,10
2,19,1.9920594202632,1.48310266802468,9.16926004997244,-16.8619201218409,10
